0.0,1056074
0.03,3741868
0.06,1767590
0.07,1440662
0.12,618022
0.13,538525
0.14,471023
0.24,160055
0.25,146058
0.26,133297
0.27,123110
0.28,113079
0.47,32474
0.48,30968
0.49,29198
0.5,27482
0.52,23914
0.54,22022
0.56,21411
0.69,13477
0.71,12197
0.73,9306
0.75,7565
0.77,6608
0.79,5959
0.81,5354
0.94,2366
0.96,1692
0.98,1197
1.0,61423
0.11,718929
0.21,211863
0.22,192064
0.23,174055
0.41,45317
0.42,42626
0.43,40894
0.44,38627
0.45,36543
0.46,34469
0.57,20309
0.59,17587
0.61,16424
0.63,14877
0.65,14251
0.67,13501
0.82,5209
0.84,4415
0.86,3891
0.88,3544
0.9,3622
0.92,2678
0.05,2210344
0.09,995954
0.1,843148
0.18,288446
0.19,259014
0.2,234319
0.35,67382
0.36,63315
0.37,58468
0.38,55183
0.39,51514
0.4,48622
0.51,25479
0.53,22747
0.55,22174
0.7,13113
0.72,11009
0.74,8889
0.76,7001
0.78,6142
0.8,5734
0.95,2236
0.97,1505
0.99,688
0.01,7071060
0.02,5177808
0.04,2831211
0.08,1191558
0.15,413355
0.16,366045
0.17,325256
0.29,104374
0.3,96998
0.31,90220
0.32,82151
0.33,77162
0.34,72148
0.58,18476
0.6,16576
0.62,15451
0.64,14150
0.66,13668
0.68,13865
0.83,4936
0.85,4127
0.87,3800
0.89,3635
0.91,2970
0.93,2313
