0.0,524051
0.07,905121
0.11,479863
0.14,323669
0.15,286053
0.22,137178
0.25,105364
0.28,82485
0.3,70593
0.33,56789
0.35,50234
0.39,38607
0.41,34097
0.44,29159
0.49,22319
0.5,20935
0.53,17372
0.56,15868
0.57,15225
0.6,12586
0.63,11768
0.66,10627
0.7,10453
0.73,7287
0.75,5951
0.78,4692
0.81,4257
0.82,3998
0.85,3654
0.88,3089
0.91,2628
0.95,2017
0.98,1009
1.0,52779
0.01,3926362
0.02,2953559
0.03,2172516
0.04,1675304
0.06,1090868
0.08,763602
0.12,417986
0.16,254628
0.19,183352
0.23,125683
0.24,115196
0.27,88996
0.29,76382
0.32,61167
0.37,43189
0.38,41249
0.43,30333
0.46,26040
0.48,23278
0.51,19355
0.54,16129
0.58,14248
0.61,12902
0.64,10914
0.67,10784
0.71,9267
0.74,6561
0.76,5310
0.79,4384
0.83,3628
0.86,3415
0.89,3138
0.92,2282
0.96,1432
0.99,551
0.05,1336539
0.09,647084
0.1,555284
0.13,365673
0.17,228747
0.18,203255
0.2,166053
0.21,151036
0.26,96475
0.31,66181
0.34,53704
0.36,46841
0.4,36283
0.42,31987
0.45,27525
0.47,24709
0.52,18456
0.55,15898
0.59,14286
0.62,11894
0.65,11000
0.68,10931
0.69,10955
0.72,8573
0.77,4946
0.8,4252
0.84,3440
0.87,3145
0.9,2861
0.93,1785
0.94,1979
0.97,1386
