0.0,2686299
0.03,7887201
0.06,3317715
0.12,1039363
0.24,249068
0.25,225821
0.27,188748
0.48,45157
0.5,40035
0.54,34490
0.71,16838
0.75,11003
0.79,8804
0.96,2227
1.0,74429
0.11,1219747
0.21,334888
0.22,301998
0.23,272903
0.42,64761
0.44,57814
0.46,51502
0.59,25558
0.63,21268
0.67,19610
0.84,5968
0.88,5015
0.92,3452
0.05,4286795
0.09,1738610
0.1,1447165
0.18,465927
0.19,414683
0.2,371965
0.36,94773
0.38,83896
0.4,73433
0.51,39263
0.55,32768
0.72,15036
0.76,9987
0.8,7904
0.97,1958
0.01,15979334
0.02,11382701
0.04,5711324
0.08,2119982
0.15,676514
0.16,593721
0.17,523166
0.3,147846
0.32,126583
0.34,110360
0.6,24269
0.64,20186
0.68,19207
0.85,5673
0.89,4929
0.93,3173
0.07,2624886
0.13,893669
0.14,775972
0.26,206146
0.28,173813
0.47,48148
0.49,42610
0.52,36761
0.56,31384
0.69,19076
0.73,13207
0.77,9154
0.81,7202
0.94,3138
0.98,1311
0.41,69229
0.43,61729
0.45,54329
0.57,29272
0.61,24161
0.65,20264
0.82,7005
0.86,5401
0.9,4814
0.35,101258
0.37,88675
0.39,78015
0.53,36543
0.7,18280
0.74,12443
0.78,8603
0.95,2966
0.99,721
0.29,161494
0.31,137460
0.33,118799
0.58,27600
0.62,23168
0.66,20002
0.83,6410
0.87,5156
0.91,4078
