0.0,22801532
0.07,9074229
0.14,2279991
0.25,606224
0.28,458909
0.39,201376
0.5,103818
0.53,83446
0.56,70528
0.75,21939
0.78,16450
0.81,12920
1.0,118451
0.09,5646344
0.18,1304136
0.36,245565
0.47,123136
0.69,35522
0.72,29593
0.94,4196
0.97,2219
0.11,3781584
0.15,1961570
0.22,819710
0.3,386213
0.33,307365
0.41,177068
0.44,147047
0.57,66100
0.6,53757
0.63,46361
0.66,42700
0.82,11295
0.85,9294
0.88,7469
0.91,5917
0.19,1151060
0.27,499480
0.38,215573
0.51,95463
0.54,78656
0.76,19226
0.79,14925
0.35,264353
0.49,110537
0.7,34085
0.73,27368
0.95,3537
0.98,1563
0.01,108542838
0.02,63668269
0.04,23836184
0.08,7079752
0.16,1697189
0.23,736931
0.29,420289
0.32,329598
0.43,156406
0.46,131910
0.58,62171
0.61,52660
0.64,43527
0.67,39169
0.83,10787
0.86,8074
0.89,7144
0.92,4966
0.05,16458886
0.1,4587291
0.13,2671108
0.2,1020193
0.26,548342
0.4,190058
0.52,89557
0.55,74993
0.77,17082
0.8,13809
0.03,37143510
0.06,11988070
0.12,3160140
0.24,666307
0.37,229092
0.48,115150
0.71,32362
0.74,23728
0.96,2644
0.99,660
0.17,1484553
0.21,912384
0.31,356015
0.34,284442
0.42,166656
0.45,138191
0.59,59170
0.62,48747
0.65,42702
0.68,38795
0.84,10047
0.87,7618
0.9,6098
0.93,4056
