0.0,173890
0.03,988433
0.05,638064
0.06,531428
0.07,451015
0.09,335833
0.1,293630
0.12,228178
0.13,203017
0.14,181342
0.18,119104
0.19,108328
0.2,99636
0.24,70443
0.25,64614
0.26,59734
0.27,54973
0.28,51582
0.35,32297
0.36,29978
0.37,28022
0.38,26623
0.39,24881
0.4,23028
0.47,16062
0.48,14867
0.49,14297
0.5,14205
0.51,13210
0.52,12346
0.53,11475
0.54,11106
0.55,10017
0.56,9353
0.69,7324
0.7,7149
0.71,6710
0.72,5910
0.73,4969
0.74,4330
0.75,3802
0.76,3568
0.77,3131
0.78,3109
0.79,3043
0.8,2834
0.81,2697
0.94,1427
0.95,1493
0.96,1080
0.97,1088
0.98,742
0.99,424
1.0,41788
0.01,1598109
0.02,1306956
0.04,780616
0.08,386738
0.11,258563
0.15,161793
0.16,146075
0.17,132159
0.21,90188
0.22,83068
0.23,75703
0.29,48347
0.3,44100
0.31,41633
0.32,38722
0.33,35653
0.34,33893
0.41,22390
0.42,20565
0.43,19683
0.44,18664
0.45,18049
0.46,16677
0.57,8958
0.58,9118
0.59,9300
0.6,8868
0.61,8712
0.62,8316
0.63,8283
0.64,7248
0.65,7564
0.66,7661
0.67,7134
0.68,7606
0.82,2486
0.83,2551
0.84,2351
0.85,2422
0.86,2232
0.87,2265
0.88,2322
0.89,2086
0.9,2057
0.91,1741
0.92,1612
0.93,1416
