0.0,287970
0.03,1401974
0.05,885818
0.06,730307
0.07,614869
0.09,451175
0.1,392502
0.12,300780
0.13,265294
0.14,236260
0.18,152809
0.19,137820
0.2,125321
0.24,87718
0.25,80884
0.26,73529
0.27,68753
0.28,63748
0.35,39984
0.36,36377
0.37,34331
0.38,32599
0.39,30222
0.4,28244
0.47,19627
0.48,18042
0.49,17685
0.5,16884
0.51,15676
0.52,14698
0.53,14251
0.54,12949
0.55,12128
0.56,11927
0.69,9001
0.7,8508
0.71,7880
0.72,6782
0.73,5923
0.74,5345
0.75,4776
0.76,4325
0.77,4001
0.78,3782
0.79,3648
0.8,3550
0.81,3186
0.94,1584
0.95,1717
0.96,1319
0.97,1219
0.98,919
0.99,504
1.0,48023
0.01,2410921
0.02,1881230
0.04,1094956
0.08,524770
0.11,340795
0.15,209387
0.16,187312
0.17,169452
0.21,113582
0.22,104163
0.23,95318
0.29,59352
0.3,54497
0.31,51176
0.32,47193
0.33,44195
0.34,41980
0.41,27095
0.42,25466
0.43,23722
0.44,23016
0.45,21742
0.46,20646
0.57,11696
0.58,11494
0.59,11458
0.6,10527
0.61,10639
0.62,9846
0.63,9703
0.64,8708
0.65,9251
0.66,8880
0.67,8861
0.68,9054
0.82,3182
0.83,3134
0.84,2798
0.85,3037
0.86,2614
0.87,2800
0.88,2672
0.89,2516
0.9,2357
0.91,2181
0.92,1841
0.93,1620
