1,48180
2,38723
3,34381
4,32329
5,30789
6,29657
7,27764
8,25380
9,22863
10,20061
11,17385
12,15042
13,12854
14,10728
15,9076
16,7478
17,6448
18,5272
19,4520
20,3825
21,3280
22,2829
23,2450
24,2113
25,1867
26,1621
27,1483
28,1327
29,1214
30,1116
31,1030
32,949
33,879
34,834
35,715
36,698
37,663
38,607
39,578
40,569
41,511
42,497
43,470
44,538
45,476
46,401
47,406
48,416
49,396
50,356
51,366
52,326
53,313
54,365
55,318
56,291
57,266
58,259
59,300
60,238
61,239
62,272
63,253
64,246
65,223
66,225
67,247
68,201
69,206
70,192
71,181
72,193
73,188
74,163
75,167
76,159
77,170
78,159
79,144
80,4471
