1,36489
2,29578
3,24013
4,21895
5,21575
6,21749
7,22057
8,22080
9,21753
10,21104
11,20287
12,19651
13,18133
14,16738
15,15311
16,13693
17,12462
18,11006
19,9706
20,8672
21,7706
22,6425
23,5715
24,4853
25,4297
26,3826
27,3368
28,2878
29,2435
30,2173
31,1940
32,1752
33,1566
34,1382
35,1267
36,1128
37,1056
38,948
39,910
40,797
41,724
42,710
43,626
44,595
45,643
46,585
47,535
48,487
49,512
50,498
51,479
52,406
53,429
54,384
55,393
56,419
57,376
58,348
59,370
60,349
61,339
62,348
63,341
64,337
65,303
66,315
67,302
68,291
69,278
70,288
71,280
72,269
73,256
74,265
75,250
76,231
77,253
78,252
79,221
80,8970
