0.0,398
0.01,6385
0.02,7271
0.03,6148
0.04,4985
0.05,4218
0.06,3783
0.07,3559
0.08,3173
0.09,2971
0.1,2895
0.11,2754
0.12,2735
0.13,2561
0.14,2409
0.15,2504
0.16,2313
0.17,2255
0.18,2155
0.19,2083
0.2,2053
0.21,2261
0.22,2189
0.23,1914
0.24,1819
0.25,1780
0.26,1567
0.27,1523
0.28,2060
0.29,2284
0.3,1959
0.31,1945
0.32,1507
0.33,1266
0.34,1128
0.35,1274
0.36,1167
0.37,1202
0.38,1270
0.39,1643
0.4,2281
0.41,1925
0.42,1807
0.43,1742
0.44,1983
0.45,1388
0.46,980
0.47,988
0.48,1143
0.49,1703
0.5,1673
0.51,1183
0.52,702
0.53,542
0.54,595
0.55,751
0.56,1380
0.57,2195
0.58,1874
0.59,1186
0.6,679
0.61,502
0.62,459
0.63,508
0.64,533
0.65,572
0.66,868
0.67,1233
0.68,2212
0.69,3217
0.7,6146
0.71,5852
0.72,3532
0.73,1519
0.74,811
0.75,356
0.76,269
0.77,158
0.78,136
0.79,158
0.8,269
0.81,470
0.82,568
0.83,378
0.84,182
0.85,190
0.86,149
0.87,251
0.88,465
0.89,1292
0.9,1902
0.91,907
0.92,275
0.93,150
0.94,204
0.95,966
0.96,375
0.97,517
0.98,364
0.99,502
1.0,98
