0.0,40539
0.01,498658
0.02,486948
0.03,376817
0.04,296446
0.05,241128
0.06,202958
0.07,172916
0.08,150577
0.09,133383
0.1,118266
0.11,106311
0.12,95979
0.13,87153
0.14,78978
0.15,72962
0.16,66122
0.17,61413
0.18,56199
0.19,52410
0.2,47804
0.21,44015
0.22,41181
0.23,38614
0.24,35946
0.25,33567
0.26,31439
0.27,29353
0.28,27570
0.29,26423
0.3,24297
0.31,22617
0.32,21402
0.33,20401
0.34,19272
0.35,18234
0.36,17459
0.37,16547
0.38,15514
0.39,14725
0.4,13780
0.41,12928
0.42,12304
0.43,12230
0.44,11632
0.45,11327
0.46,10651
0.47,9687
0.48,8983
0.49,8640
0.5,8515
0.51,8504
0.52,8287
0.53,7898
0.54,7457
0.55,6863
0.56,6455
0.57,5710
0.58,5046
0.59,4567
0.6,4731
0.61,5795
0.62,5965
0.63,5802
0.64,5481
0.65,5795
0.66,5473
0.67,6047
0.68,5384
0.69,5650
0.7,5645
0.71,5011
0.72,3884
0.73,3107
0.74,2581
0.75,2238
0.76,1956
0.77,1875
0.78,1930
0.79,1909
0.8,1952
0.81,1606
0.82,1455
0.83,1312
0.84,1502
0.85,1669
0.86,1732
0.87,1725
0.88,1825
0.89,1740
0.9,1618
0.91,1123
0.92,1016
0.93,1092
0.94,1163
0.95,1198
0.96,934
0.97,889
0.98,661
0.99,455
1.0,33111
